DonorID,FirstName,LastName,Email,Phone,City,State,ZipCode,LastDonationDate,TotalGifts,TotalAmountDonated,EventParticipation,EngagementScore
D00001,Danielle,Anderson,tina69@salazar.com,(716)033-8417x8760,New Ethan,AK,9539,9/3/2024,10,8481.55,Yes,56
D00002,Angel,Hart,garciatyler@gmail.com,(874)907-2648,West Ashleymouth,MS,49618,5/6/2022,5,14102.15,Yes,11
D00003,Joshua,Stone,ywoods@gmail.com,105.039.1678x12883,East Stephanie,NJ,6600,1/21/2023,21,5140.38,No,26
D00004,Jeffrey,Welch,johnsonkimberly@ferguson.com,939.859.3082x278,South Andrewshire,SD,22434,1/26/2023,22,18555.04,Yes,92
D00005,Jill,Vasquez,hughesnicholas@gmail.com,469-539-5369,Moorestad,DC,16142,5/5/2022,10,1325.93,No,27
D00006,Erica,White,hdunn@yahoo.com,232.072.4861x15623,Katherineton,ND,21826,11/1/2022,12,21316.52,No,83
D00007,Patricia,Lynch,michael56@allen.org,6780194670,Aprilshire,NH,85934,4/18/2023,10,4970.95,No,57
D00008,Christopher,Erickson,robertgoodwin@bradley.com,412-804-4712,Lake Tammiemouth,KS,13873,12/25/2022,29,21862.46,No,27
D00009,Robert,Krause,brownsamuel@williams-bailey.com,8362487485,Allenborough,AK,93306,2/17/2023,13,8826.18,Yes,59
D00010,Anthony,Smith,catherinemendoza@gmail.com,(237)886-1732x7760,Petersonfurt,WY,54886,8/12/2024,11,18072.64,No,62
D00011,Jeffery,Johnson,wrightamy@thornton-li.com,001-639-513-6899x065,West Mariahside,MN,95800,7/7/2022,22,7994.25,No,20
D00012,William,Garrett,shelly84@hotmail.com,001-741-698-4366x33756,Laneville,CA,17633,4/15/2022,16,22649.67,No,3
D00013,Anthony,Wilson,luis88@brown.org,001-184-535-7777x85929,New Brett,MN,1326,11/7/2024,8,3183.4,No,16
D00014,James,Charles,christian28@gmail.com,583-618-8374x489,Wandaside,PA,88728,12/27/2024,8,4479.42,Yes,44
D00015,Debra,Marsh,davidhardy@gmail.com,(396)042-4450,New Henry,IL,11566,8/27/2024,27,12335.89,No,93
D00016,Amy,Duarte,hollysantos@benton-smith.com,(567)021-7829,East Michaelville,WV,55726,10/16/2024,25,2066.82,No,79
D00017,Jeffrey,Gutierrez,brianna41@gmail.com,988-161-0376x32940,Garciafurt,WY,76459,11/20/2022,8,4915.59,Yes,30
D00018,Bridget,Cook,ysimpson@yahoo.com,804.374.1269,Tracymouth,DC,50870,3/21/2024,13,23595.28,No,40
D00019,Lisa,Castro,walkernicolas@hotmail.com,-1497,Heatherburgh,NC,85778,5/19/2023,27,24412.71,No,65
D00020,Adam,Walsh,guerreroanthony@yahoo.com,+1-970-783-9313x294,New Alexandra,WV,59644,1/31/2025,2,9418.96,Yes,29
D00021,Linda,Smith,sandra49@todd.org,2759425016,Piercemouth,ND,43951,6/10/2024,12,23083.68,Yes,30
D00022,Helen,Harris,vpatton@gmail.com,(755)574-8632x810,North Rickyshire,AK,29480,4/1/2024,10,13629.72,No,32
D00023,Matthew,Campbell,rfarley@garrison-hurley.info,+1-705-605-5738x41096,New Emily,KY,91553,8/28/2022,12,6758.17,No,10
D00024,Eric,Tyler,francisco67@hotmail.com,661615317,East Tara,MA,34919,4/10/2022,11,17565.92,No,91
D00025,Susan,Parker,rebeccacampbell@tapia.net,(602)445-6979x1814,Garciashire,FL,33431,1/18/2025,15,16479.37,No,51
D00026,Matthew,Hunter,ashley09@yahoo.com,369.757.5546,South Henrychester,NE,58276,4/30/2023,16,24728.35,No,8
D00027,Christopher,Nguyen,donna90@gmail.com,6834260533,Jonesberg,MI,47850,5/9/2024,17,6640.88,No,51
D00028,Colin,Smith,mary27@yahoo.com,824.996.9660x81875,Paulfurt,MD,53589,10/1/2023,26,16808.05,No,36
D00029,Melanie,Jennings,csmith@castillo-richard.com,804.140.3634x87451,Adkinsfort,TX,14709,12/15/2023,2,1319.55,No,55
D00030,Cassandra,Peterson,rileychristopher@hotmail.com,(619)379-0229,South Miguelport,MD,82395,6/17/2022,18,2858.88,Yes,35
D00031,Lindsay,Ramsey,alexanderjonathan@yahoo.com,094.431.2134,Laurenhaven,MA,43955,12/7/2023,12,117.88,No,36
D00032,Jessica,Gilbert,omartinez@gmail.com,001-557-999-0072x566,East Wesleyberg,MS,27906,1/16/2025,19,24986.53,No,56
D00033,Amanda,Johnson,halldiamond@cohen.org,001-872-306-3657x83715,Brandonberg,OR,93148,6/30/2023,26,20060.8,Yes,36
D00034,Teresa,Thompson,tranjeremy@hotmail.com,041-367-7767,North Christophershire,VT,11505,11/12/2023,23,19672.34,No,89
D00035,Nicholas,Rivera,allen58@hotmail.com,+1-593-224-9673x719,East Jessica,CA,65683,12/4/2023,18,12752.96,No,84
D00036,Andrea,Morgan,michaeljones@wilson-jones.com,(755)791-2094x54028,East Rachelfurt,ND,24867,3/21/2024,17,7515.68,No,61
D00037,Maria,Chambers,maria61@hotmail.com,001-944-388-2697x694,Port Carmenville,WI,30055,2/2/2023,6,3798.58,No,62
D00038,Christine,Hendricks,douglas59@yahoo.com,366-748-8689,Tommyfurt,IA,50632,8/11/2022,25,7131.17,No,81
D00039,Michelle,Robles,xmerritt@yahoo.com,001-690-878-6391,Ericville,NC,94088,6/19/2024,15,9411.76,No,87
D00040,Barbara,Brewer,martinbradley@gmail.com,183-590-9490x4447,South Maxwell,NJ,95293,7/4/2024,3,18912.63,Yes,25
D00041,Janet,Olson,lynchlindsey@baldwin.com,270-725-4452x786,Lake Joseph,NJ,11287,9/25/2022,6,13500.75,Yes,64
D00042,Brandon,Burton,crivas@barber.com,095-472-8740,Jamiemouth,MS,36472,10/22/2024,3,1955.54,No,60
D00043,Jeremy,Mcclain,arianacuevas@kelley.net,519.391.4603x782,Burchside,NH,54682,7/25/2022,29,470.36,No,57
D00044,Keith,Herrera,hhopkins@stewart-lee.org,-9831,Jasmineton,NM,45307,11/11/2022,1,2576.26,Yes,95
D00045,Christopher,Rogers,marklloyd@yahoo.com,+1-587-770-7501x3993,Duranstad,NY,92754,1/5/2024,13,10274.26,Yes,70
D00046,Jesse,Bowers,hedwards@allen.com,+1-256-797-4631x771,Joneshaven,NH,30429,12/25/2022,28,23331.16,No,99
D00047,Craig,Gutierrez,ann15@washington.com,626.678.6163x38638,Katrinamouth,VT,70127,10/3/2022,21,15942.31,No,52
D00048,Joshua,Newton,kimberlyrussell@wade.com,303-262-4986,West Samanthaland,GA,75726,4/1/2022,26,20049.61,No,56
D00049,Cynthia,Conley,millerrobert@gmail.com,094-665-4977x0536,West Jamie,PA,19148,5/2/2023,14,11670.04,No,63
D00050,Michael,Evans,rachelwalter@gmail.com,434-954-1217x6208,Hoganfort,AR,89541,9/7/2023,13,9054.42,No,68
D00051,Mitchell,Hardy,barneskathy@conrad.com,+1-012-893-4828x0092,Hannahside,VT,2561,11/9/2022,27,2727.84,Yes,20
D00052,Jason,Stewart,vaughnveronica@gmail.com,5365045686,North Michellechester,NM,90269,4/17/2023,4,21900.81,No,54
D00053,Joseph,Herrera,zgomez@hotmail.com,+1-690-019-2331x524,East Tony,SD,31182,9/13/2023,7,19583.34,Yes,1
D00054,Sharon,Clark,david59@jensen.com,4157584276,Lake Erictown,RI,80169,1/30/2023,22,4219.59,No,90
D00055,Deborah,Jennings,vmccoy@yahoo.com,612.779.3333x56942,North Deborah,AK,22809,10/27/2022,10,12816.27,No,98
D00056,Chelsea,Marsh,ugraves@gmail.com,1844576616,Johnberg,IL,72557,6/30/2023,7,12194.62,Yes,10
D00057,George,Barron,paulawatkins@craig-chavez.com,001-295-064-1031x841,North Matthewton,GA,89537,5/13/2023,21,15634.79,No,23
D00058,Jessica,Gomez,williamchapman@gmail.com,+1-732-652-3465x5461,Port Scottfurt,NM,25109,6/26/2023,15,23655.75,No,51
D00059,Frank,Montes,trevor09@merritt.biz,(038)467-2644,Mitchellport,LA,52827,9/13/2022,15,14502.69,Yes,24
D00060,Noah,Ramirez,patrick22@gmail.com,+1-019-892-8914x35354,North Jennifermouth,LA,69186,11/6/2024,4,13514.63,No,13
D00061,Veronica,Johnson,kstone@edwards.com,(562)860-7813,South Jasonhaven,MN,16666,5/26/2022,23,1277.07,No,29
D00062,Danielle,Terrell,kgonzales@yahoo.com,475.134.0749x18505,Christopherfort,PA,35657,5/11/2024,23,1591.43,No,58
D00063,Angela,Sims,middletonelizabeth@gmail.com,001-824-055-4651x206,Anthonyburgh,GA,5447,12/28/2024,6,4699.92,No,91
D00064,Gabrielle,Kirby,andrearomero@johnson.net,+1-061-195-9737x253,South Tina,NM,36736,11/28/2023,24,831.12,Yes,95
D00065,Megan,Duncan,freemanlynn@harris-mcmahon.org,3158464394,Lake Dale,VA,94833,8/5/2023,20,18588.96,No,43
D00066,Kimberly,Price,dmeyer@yahoo.com,280-540-0923x195,Andrewsberg,MN,66074,12/30/2023,26,18088.79,Yes,10
D00067,Jeremy,Larson,wallaceryan@miller-taylor.com,7873053900,West Jessica,ND,9933,9/14/2023,5,3418.68,No,31
D00068,Antonio,Hancock,linda31@moore-rogers.info,432.926.2055,New George,IA,81379,2/13/2024,20,20905.25,No,74
D00069,Leslie,Walton,patricia06@randolph.com,001-556-284-9756x57833,North Beverly,NV,56167,5/16/2023,12,3886.56,Yes,88
D00070,Joseph,Thornton,averycourtney@taylor.com,+1-399-431-0951x888,East Melanie,GA,27750,4/5/2023,1,7543.37,Yes,97
D00071,Jason,Edwards,theodore72@crawford.com,(787)828-0957x283,Lake Anthonyburgh,CO,67648,4/6/2023,28,6239.44,No,14
D00072,Sherri,Johnson,hamiltontravis@clark.com,+1-783-018-9865x984,East Curtismouth,OK,67784,9/29/2022,8,9320.23,No,99
D00073,Nancy,Gutierrez,danawashington@hotmail.com,(074)562-5670x3271,Kellyburgh,MO,31061,8/10/2024,1,6381.5,Yes,34
D00074,Leonard,Crawford,mary47@robles-myers.com,-2729,Smithtown,WI,3226,5/10/2022,5,12233.99,No,17
D00075,Diana,Young,colin14@yahoo.com,+1-207-520-4690x74390,Markmouth,OH,5583,1/11/2024,22,10197.05,Yes,21
D00076,Randall,Hayes,john61@gmail.com,+1-648-477-3920x2444,Heidiborough,WI,25169,9/29/2024,6,24664.51,Yes,96
D00077,Robin,Sampson,donna56@hotmail.com,7319718901,Port Susanbury,LA,71724,4/23/2022,29,1417.04,No,67
D00078,Stephen,Robinson,flarsen@jenkins.net,203-672-9169,North Emily,IA,42721,8/30/2022,21,3571.69,Yes,58
D00079,Joseph,Turner,xbrown@green-stewart.biz,+1-426-166-6471x0793,North Stephen,AZ,86350,11/19/2023,3,1339.59,No,79
D00080,John,Rodriguez,dross@yahoo.com,(275)652-0831x300,Frankmouth,VT,60080,9/24/2022,15,15653.51,No,8
D00081,Anna,Glover,matthewcardenas@yahoo.com,618-321-5290,Johnton,IN,48882,7/3/2023,5,1381.64,No,96
D00082,Jose,Strickland,kwalker@hotmail.com,7416643086,Dayborough,CA,76767,4/9/2023,28,20914.26,No,38
D00083,Brenda,Gentry,gouldchristina@anderson-fernandez.com,4283167232,Maryburgh,AK,64719,6/4/2024,24,12808.23,No,26
D00084,Rachael,Wallace,deleonmathew@yahoo.com,644-710-6060x6737,Rodriguezbury,MO,47697,4/26/2022,14,13184.65,No,64
D00085,Reginald,Johnson,stonemichael@galloway.biz,889.214.1810x072,Stanleymouth,CT,18869,11/19/2023,18,14048.63,No,30
D00086,Jeffrey,Webb,laurie55@lewis-quinn.com,+1-084-798-0117x056,East Davidport,DC,58442,8/15/2022,16,4286.93,No,9
D00087,Whitney,Porter,fischeralisha@sanders.com,765-857-5790x336,Joelland,WI,53771,6/26/2022,6,4958.3,No,32
D00088,William,Lee,crystalwatts@nelson.biz,+1-759-479-1099x9937,Ashleyport,AR,29581,12/21/2024,25,7984.06,Yes,11
D00089,Christopher,Mclean,lorettamcdowell@gmail.com,486.523.0804x53343,Peterschester,OR,98426,5/29/2024,24,14845.54,No,86
D00090,Brandon,Oconnor,wagnerjade@perry.org,4982070002,Blevinsborough,KS,37778,5/18/2023,14,5268.74,No,34
D00091,Daniel,Mills,fitzgeraldlaura@decker.com,(755)475-3964x1638,East Jacobfurt,FL,73397,2/8/2024,27,2925.97,No,18
D00092,Courtney,Rowe,turnerstephen@gmail.com,(511)723-0358,West Michaelton,NM,53804,9/23/2022,24,24253.52,No,19
D00093,Laura,Thomas,bbennett@gmail.com,(172)633-0804,West Joshua,OH,59415,4/26/2022,8,569.11,No,54
D00094,Robert,Wiggins,ehoffman@velez-ferguson.com,-3278,New Sarahport,CO,87923,3/29/2024,29,20071.38,No,82
